schoolId,daslSchoolId,schoolName,city,stateCode,colaIndex
,0286,Hackley School,Tarrytown,NY,1.3005
,1323,Hargrave Military Academy,Chatham,VA,0.9533
,0812,Havergal College,Toronto,ON,
,0306,Hawaii Preparatory Academy,Kamuela,HI,1.4414
,0311,Hebron Academy,Hebron,ME,1.1304
,0320,Hillside School,Marlborough,MA,1.3986
,107326,Hokkaido International School,Sapporo,,
,0323,Holderness School,Plymouth,NH,1.2409
,1953,Idyllwild Arts Academy,Idyllwild,CA,1.2908
,0338,Indian Mountain School,Lakeville,CT,1.252
,0339,Indian Springs School,Indian Springs,AL,1.0023
,0340,Interlochen Center for the Arts,Interlochen,MI,0.9465
001f400000MbZaH,0341,Iolani School,Honolulu,HI,1.5529
,54202,John Bapst Memorial High School,Bangor,ME,1.1365
,165786,Kamehameha Schools,Honolulu,HI,1.859
,0357,Kent School - CT,Kent,CT,1.252
,0360,Kents Hill School,Kents Hill,ME,1.1637
,0364,Kimball Union Academy,Meriden,NH,1.2026
,0378,La Lumiere School,La Porte,IN,0.9194
,0374,Lake Forest Academy,Lake Forest,IL,1.1403
,0818,Lakefield College School,Lakefield,ON,
,1464,Landmark School,Prides Crossing,MA,1.2987
,0386,Lawrence Academy,Groton,MA,1.3986
,0391,Lexington Christian Academy,Lexington,MA,1.3986
,71060,Leysin American School,Leysin,,
,0398,Loomis Chaffee School,Windsor,CT,1.2545
,1810,Maplebrook School,Amenia,NY,1.0892
,0433,Mercersburg Academy,Mercersburg,PA,1.0085
,0436,Middlesex School,Concord,MA,1.3986
,0437,Midland School,Los Olivos,CA,1.3489
,0438,Millbrook School,Millbrook,NY,1.0892
,0439,Milton Academy,Milton,MA,1.3932
,0287,Miss Hall's School,Pittsfield,MA,1.2302
,0508,Miss Porter's School,Farmington,CT,1.2545
,29029,New Mexico Military Institute,Roswell,NM,0.977
,0465,North Country School,Lake Placid,NY,1.0544
,0471,North Yarmouth Academy,Yarmouth,ME,1.2324
,0467,Northfield Mount Hermon,Mount Hermon,MA,1.239
,0470,Northwood School,Lake Placid,NY,
,0479,Ojai Valley School,Ojai,CA,1.3549
