INFO dasl_sync Starting DASL -> BigQuery pipeline (base URL: https://daslwebapi.azurewebsites.net)
INFO dasl_sync Loading years: [2024, 2025, 2026]
INFO dasl_sync Finished school 001f400000EnXvI: running fact_rows=394570
INFO dasl_sync Finished school 001f400000EnXuh: running fact_rows=394570
INFO dasl_sync Finished school 001f400000EnXtB: running fact_rows=394570
INFO dasl_sync Finished school 001f400000EnXtj: running fact_rows=394570
INFO dasl_sync Finished school 001f400000EnXv0: running fact_rows=400180
INFO dasl_sync Finished school 001f400000EnXuB: running fact_rows=405790
INFO dasl_sync Finished school 001f400000EnXvE: running fact_rows=405790
INFO dasl_sync Finished school 001PH00000r5J1y: running fact_rows=411400
INFO dasl_sync Finished school 0015G00002BcJyu: running fact_rows=411400
INFO dasl_sync Finished school 001f400000EnXw8: running fact_rows=417010
INFO dasl_sync Finished school 001f400000EnXv8: running fact_rows=422620
INFO dasl_sync Finished school 001f400000EnXx3: running fact_rows=428230
INFO dasl_sync Finished school 001f400000EnXu4: running fact_rows=433840
INFO dasl_sync Finished school 001f400000EnXuZ: running fact_rows=433840
INFO dasl_sync Finished school 001f400000EnXvC: running fact_rows=433840
INFO dasl_sync Finished school 0015G00002P4K4f: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXuP: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXuw: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXup: running fact_rows=439450
INFO dasl_sync Finished school 001f400000MbZcg: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXtD: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXuQ: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXvA: running fact_rows=439450
INFO dasl_sync Finished school 001f400000EnXum: running fact_rows=445060
INFO dasl_sync Finished school 001f400000EnXvJ: running fact_rows=445060
INFO dasl_sync Finished school 001f400000EnXxR: running fact_rows=450670
INFO dasl_sync Finished school 001f400000EnXtx: running fact_rows=450670
INFO dasl_sync Finished school 001f400000EnXtC: running fact_rows=450670
INFO dasl_sync Finished school 001f400000EnXwl: running fact_rows=450670
INFO dasl_sync Finished school 001PH00000Rx1Ke: running fact_rows=456280
INFO dasl_sync Finished school 001f400000EnXv5: running fact_rows=461890
WARNING dasl_sync DASL GET https://daslwebapi.azurewebsites.net/assocSchoolData/001f400000EnXw7 network error (HTTPSConnectionPool(host='daslwebapi.azurewebsites.net', port=443): Read timed out. (read timeout=60)), retry 1/5 in 2.0s
INFO dasl_sync Finished school 001f400000EnXw7: running fact_rows=467500
INFO dasl_sync Finished school 001f400000EnXth: running fact_rows=473110
INFO dasl_sync Finished school 001f400000EnXvN: running fact_rows=473110
INFO dasl_sync Finished school 001f400000EnXuo: running fact_rows=478720
