varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
8625,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Pre-First Grade: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Pre-First Grade: Total,integer,,False
14313,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 1: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 1: Day,integer,,False
14314,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 1: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 1: 5-Day Boarding,integer,,False
14315,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 1: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 1: 7-Day Boarding,integer,,False
14316,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 1: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 1: Total Boarding,integer,,False
1454,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 1: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 1: Total,integer,,False
14317,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 2: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 2: Day,integer,,False
14318,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 2: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 2: 5-Day Boarding,integer,,False
14319,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 2: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 2: 7-Day Boarding,integer,,False
14320,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 2: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 2: Total Boarding,integer,,False
1458,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 2: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 2: Total,integer,,False
14321,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 3: Day,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 3: Day,integer,,False
14322,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 3: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 3: 5-Day Boarding,integer,,False
14323,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: 3: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: 3: 7-Day Boarding,integer,,False
